1G9V_RQ3,results_astex/1G9V_RQ3/lig_equibind_corrected.sdf,1G9V_RQ3_A_801,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1GKC_NFH,results_astex/1GKC_NFH/lig_equibind_corrected.sdf,1GKC_NFH_B_1449,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False
1GM8_SOX,results_astex/1GM8_SOX/lig_equibind_corrected.sdf,1GM8_SOX_B_1559,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1GPK_HUP,results_astex/1GPK_HUP/lig_equibind_corrected.sdf,1GPK_HUP_A_1540,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1HNN_SKF,results_astex/1HNN_SKF/lig_equibind_corrected.sdf,1HNN_SKF_A_3001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1HP0_AD3,results_astex/1HP0_AD3/lig_equibind_corrected.sdf,1HP0_AD3_A_1315,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1HQ2_PH2,results_astex/1HQ2_PH2/lig_equibind_corrected.sdf,1HQ2_PH2_A_181,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1HVY_D16,results_astex/1HVY_D16/lig_equibind_corrected.sdf,1HVY_D16_D_417,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False
1HWI_115,results_astex/1HWI_115/lig_equibind_corrected.sdf,1HWI_115_B_1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False
1HWW_SWA,results_astex/1HWW_SWA/lig_equibind_corrected.sdf,1HWW_SWA_A_1103,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1IA1_TQ3,results_astex/1IA1_TQ3/lig_equibind_corrected.sdf,1IA1_TQ3_B_196,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1IG3_VIB,results_astex/1IG3_VIB/lig_equibind_corrected.sdf,1IG3_VIB_B_501,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1J3J_CP6,results_astex/1J3J_CP6/lig_equibind_corrected.sdf,1J3J_CP6_A_609,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1JD0_AZM,results_astex/1JD0_AZM/lig_equibind_corrected.sdf,1JD0_AZM_B_2401,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False
1JJE_BYS,results_astex/1JJE_BYS/lig_equibind_corrected.sdf,1JJE_BYS_A_250,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1JLA_TNK,results_astex/1JLA_TNK/lig_equibind_corrected.sdf,1JLA_TNK_A_999,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1K3U_IAD,results_astex/1K3U_IAD/lig_equibind_corrected.sdf,1K3U_IAD_A_801,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False
1KE5_LS1,results_astex/1KE5_LS1/lig_equibind_corrected.sdf,1KE5_LS1_A_299,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1KZK_JE2,results_astex/1KZK_JE2/lig_equibind_corrected.sdf,1KZK_JE2_A_701,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
