1G9V_RQ3|results_astex/1G9V_RQ3/complex_0/rank1.sdf,1G9V_RQ3_A_801,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
1GKC_NFH|results_astex/1GKC_NFH/complex_0/rank1.sdf,1GKC_NFH_A_1448,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False
1GM8_SOX|results_astex/1GM8_SOX/complex_0/rank1.sdf,1GM8_SOX_B_1559,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False
1GPK_HUP|results_astex/1GPK_HUP/complex_0/rank1.sdf,1GPK_HUP_A_1540,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
1HNN_SKF|results_astex/1HNN_SKF/complex_0/rank1.sdf,1HNN_SKF_A_3001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
1HP0_AD3|results_astex/1HP0_AD3/complex_0/rank1.sdf,1HP0_AD3_A_1315,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False
1HQ2_PH2|results_astex/1HQ2_PH2/complex_0/rank1.sdf,1HQ2_PH2_A_181,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1HVY_D16|results_astex/1HVY_D16/complex_0/rank1.sdf,1HVY_D16_D_417,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1HWW_SWA|results_astex/1HWW_SWA/complex_0/rank1.sdf,1HWW_SWA_A_1103,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False
1OPK_P16|results_astex/1OPK_P16/complex_0/rank1.sdf,1OPK_P16_A_2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False
1Z95_198|results_astex/1Z95_198/complex_0/rank1.sdf,1Z95_198_A_501,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2BSM_BSM|results_astex/2BSM_BSM/complex_0/rank1.sdf,2BSM_BSM_A_1224,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
